Hours_Studied,Sleep_Hours,Exercises_Practiced,Performance
4,7,2,37.0
2,9,7,37.0
7,8,1,72.0
8,4,1,55.0
8,8,9,90.0
1,8,1,24.0
1,7,1,70.0
5,7,0,47.0
1,7,9,23.0
6,7,8,34.0
2,5,6,51.0
4,4,0,62.0
2,6,3,17.0
1,8,1,67.0
2,4,9,62.0
2,6,7,44.0
6,5,3,45.0
5,5,7,38.0
7,7,8,79.0
3,9,0,52.0
6,4,2,56.0
7,4,2,50.0
2,7,1,51.0
2,4,0,20.0
4,5,3,42.0
6,9,8,79.0
1,6,1,63.0
3,8,4,50.0
5,4,4,36.0
6,6,8,30.0
3,8,1,38.0
6,6,7,69.0
5,8,2,57.0
8,6,1,56.0
5,6,4,33.0
6,9,8,84.0
7,8,9,66.0
4,9,4,21.0
4,4,6,29.0
1,9,1,36.0
3,9,3,28.0
2,5,0,61.0
2,7,5,28.0
1,7,8,34.0
3,6,2,50.0
1,7,4,14.0
4,6,6,27.0
5,6,1,60.0
4,9,5,77.0
7,8,3,63.0
9,8,6,82.0
3,6,3,42.0
1,7,8,50.0
6,9,2,47.0
4,7,9,79.0
5,6,0,49.0
8,4,0,73.0
3,7,0,76.0
7,8,6,67.0
2,9,6,65.0
6,6,1,47.0
5,7,9,67.0
1,5,4,26.0
8,5,4,42.0
9,6,5,82.0
4,6,4,29.0
3,4,7,46.0
9,7,9,90.0
2,4,8,16.0
1,9,5,69.0
8,6,7,85.0
6,7,0,76.0
6,9,0,81.0
7,8,0,56.0
8,5,9,97.0
1,7,6,26.0
3,6,4,36.0
6,4,5,36.0
7,7,4,66.0
7,9,1,84.0
2,7,8,29.0
7,6,9,82.0
9,7,1,44.0
3,4,4,65.0
9,6,4,45.0
1,8,7,27.0
3,9,3,44.0
3,6,1,20.0
5,4,8,24.0
2,9,7,40.0
2,8,8,49.0
3,6,0,79.0
8,7,5,68.0
1,7,2,16.0
5,6,6,27.0
2,8,9,39.0
9,7,8,91.0
2,4,0,32.0
5,6,7,64.0
7,5,2,36.0
9,4,4,91.0
1,8,8,71.0
5,5,5,33.0
9,6,5,41.0
9,9,3,83.0
5,5,6,29.0
2,5,4,47.0
8,5,7,76.0
3,6,3,35.0
1,9,1,69.0
4,5,1,27.0
5,8,5,77.0
7,9,9,91.0
5,5,4,69.0
2,7,0,51.0
2,6,5,61.0
1,5,6,13.0
5,6,9,27.0
2,4,3,61.0
3,9,6,43.0
3,5,1,60.0
7,4,1,87.0
7,7,5,46.0
3,8,3,67.0
5,9,7,61.0
9,8,7,95.0
6,8,1,61.0
5,5,5,54.0
1,4,2,48.0
3,7,8,48.0
9,4,2,87.0
7,7,9,75.0
2,5,2,51.0
1,9,2,11.0
4,6,1,70.0
2,6,7,47.0
6,8,1,55.0
4,9,1,59.0
4,6,1,24.0
3,9,7,41.0
2,8,7,40.0
8,6,0,39.0
8,8,4,80.0
9,9,6,51.0
5,6,1,28.0
2,7,0,69.0
9,5,5,68.0
2,7,6,64.0
8,4,8,63.0
5,8,3,60.0
2,9,5,53.0
3,5,3,71.0
9,8,1,81.0
8,9,6,54.0
4,4,7,39.0
5,5,8,70.0
1,6,9,47.0
1,8,7,20.0
3,5,0,34.0
5,8,0,76.0
3,7,6,21.0
4,9,9,40.0
7,6,0,42.0
6,4,0,41.0
8,4,7,59.0
6,6,9,74.0
9,7,5,51.0
8,6,7,64.0
9,8,2,76.0
8,6,7,87.0
7,9,1,78.0
9,7,1,86.0
9,6,5,81.0
5,7,7,41.0
3,5,0,72.0
4,8,4,71.0
8,9,5,61.0
2,9,7,64.0
6,8,0,80.0
9,5,3,80.0
1,8,0,23.0
5,6,6,42.0
4,4,1,53.0
7,4,7,55.0
2,6,0,19.0
8,9,6,95.0
7,4,3,63.0
9,9,6,92.0
5,9,7,54.0
2,4,1,28.0
7,8,7,48.0
5,5,3,57.0
3,6,3,35.0
5,4,5,47.0
1,8,5,21.0
4,8,6,63.0
8,7,9,54.0
1,8,5,16.0
8,5,0,34.0
7,4,5,36.0
