date,price
2024-02-12,186.16
2024-02-13,183.7
2024-02-14,183.57
2024-02-15,186.87
2024-02-16,187.64
2024-02-20,183.44
2024-02-21,179.7
2024-02-22,184.21
2024-02-23,185.72
2024-02-26,184.13
2024-02-27,184.87
2024-02-28,185.3
2024-02-29,185.03
2024-03-01,188.2
2024-03-04,193.06
2024-03-05,191.95
2024-03-06,196.16
2024-03-07,196.54
2024-03-08,195.95
2024-03-11,191.73
2024-03-12,197.78
2024-03-13,196.7
2024-03-14,193.43
2024-03-15,191.07
2024-03-18,191.69
2024-03-19,193.34
2024-03-20,193.96
2024-03-21,191.9
2024-03-22,190.84
2024-03-25,188.79
2024-03-26,188.5
2024-03-27,190.8
2024-03-28,190.96
2024-04-01,189.83
2024-04-02,188.88
2024-04-03,190.9
2024-04-04,187.94
2024-04-05,189.14
2024-04-08,189.82
2024-04-09,189.31
2024-04-10,186.04
2024-04-11,185.9
2024-04-12,182.27
2024-04-15,181.25
2024-04-16,183.75
2024-04-17,183.1
2024-04-18,181.47
2024-04-19,181.58
2024-04-22,181.9
2024-04-23,182.19
2024-04-24,184.1
2024-04-25,168.91
2024-04-26,167.13
2024-04-29,167.43
2024-04-30,166.2
2024-05-01,164.43
2024-05-02,164.69
2024-05-03,165.71
2024-05-06,168.61
2024-05-07,168.38
2024-05-08,169.9
2024-05-09,166.27
2024-05-10,167.15
2024-05-13,167.56
2024-05-14,167.36
2024-05-15,168.26
2024-05-16,168.97
2024-05-17,169.03
2024-05-20,169.92
2024-05-21,173.47
2024-05-22,173.69
2024-05-23,170.67
2024-05-24,170.89
2024-05-28,169.66
2024-05-29,167.05
2024-05-30,165.63
2024-05-31,166.85
2024-06-03,165.28
2024-06-04,165.81
2024-06-05,167.38
2024-06-06,168.2
2024-06-07,170.01
2024-06-10,170.38
2024-06-11,169.32
2024-06-12,169.0
2024-06-13,169.12
2024-06-14,169.21
2024-06-17,169.5
2024-06-18,170.55
2024-06-20,173.92
2024-06-21,172.46
2024-06-24,175.01
2024-06-25,172.6
2024-06-26,171.87
2024-06-27,170.85
2024-06-28,172.95
2024-07-01,175.1
2024-07-02,177.3
2024-07-03,175.73
2024-07-05,176.02
